10058	191	2015-02-21	1078360	女	浙江 绍兴	4	4	1	2015-01-13	color4
10058	191	2015-02-21	1078760	女	上海 上海	1	2	0	2015-01-19	color4
10058	191	2015-02-21	43895	男	浙江 杭州	1	1	1	2015-01-19	color5
10058	191	2015-02-21	54742	女	上海 上海	0	2	0	2015-02-03	color5
10058	191	2015-02-21	1002755	女	广东 汕头	3	3	2	2015-02-10	color5
10058	1109	2015-02-22	70568	男	浙江 宁波	1	1	1	2015-01-26	color4
10058	1109	2015-02-22	1079176	女	上海 上海	0	2	0	2015-01-28	color4
10058	1109	2015-02-22	1058050	男	浙江 湖州	1	1	0	2015-01-29	color4
10058	1109	2015-02-22	1079242	女	上海 上海	2	3	0	2015-01-30	color4
10058	1109	2015-02-22	1079395	女	上海 上海	0	2	0	2015-02-03	color4
10058	1109	2015-02-22	345	女	浙江 杭州	0	2	0	2015-02-04	color4
10058	1109	2015-02-22	65421	女	浙江 杭州	1	1	1	2015-02-07	color4
10058	1109	2015-02-22	64800	女	浙江 杭州	1	1	1	2015-02-10	color4
10058	1109	2015-02-22	1079851	女	浙江 杭州	1	2	2	2015-02-12	color4
10058	1109	2015-02-22	1079947	女	浙江 杭州	1	0	1	2015-02-14	color5
10058	1111	2015-02-23	16516	男	浙江 杭州	1	1	1	2014-12-11	color5
10058	1111	2015-02-23	52269	男	上海 上海	1	1	0	2014-12-15	color5
10058	1111	2015-02-23	50356	女	浙江 杭州	1	1	0	2015-01-17	color5
10058	1111	2015-02-23	27360	女	浙江 杭州	1	1	1	2015-01-18	color5
10058	192	2015-02-25	1061532	女	浙江 嘉兴	0	3	0	2014-12-24	color4
10058	192	2015-02-25	61904	女	浙江 杭州	0	2	1	2015-01-19	color4
10058	192	2015-02-25	47714	女	浙江 杭州	0	2	1	2015-01-24	color4
10058	192	2015-02-25	47714	女	浙江 杭州	0	2	2	2015-01-25	color4
10058	192	2015-02-25	52269	男	上海 上海	1	1	0	2015-01-30	color4
10058	192	2015-02-25	73908	女	浙江 杭州	0	4	0	2015-02-04	color4
10058	192	2015-02-25	1079930	女	浙江 杭州	0	2	2	2015-02-13	color4
10058	192	2015-02-25	58780	女	浙江 杭州	1	1	2	2015-02-15	color4
10058	192	2015-02-25	1062487	女	浙江 杭州	1	1	1	2015-02-15	color5
10058	1112	2015-03-21	43140	女	浙江 嘉兴	0	4	0	2015-02-28	color4
10058	1112	2015-03-21	1004676	男	浙江 杭州	1	1	0	2015-03-02	color4
10058	1112	2015-03-21	1005769	女	浙江 杭州	1	1	0	2015-03-02	color4
10058	1112	2015-03-21	28756	女	浙江 杭州	0	2	0	2015-03-07	color4
10058	1112	2015-03-21	1050685	女	上海 上海	0	1	0	2015-03-13	color4
10058	1113	2015-04-04	51700	男	河北 石家庄	2	0	0	2015-01-09	color5
10058	1113	2015-04-04	65863	女	河北 石家庄	0	1	0	2015-02-14	color5
10058	1113	2015-04-04	1082713	女	湖南 益阳	1	1	0	2015-03-23	color5
10058	1113	2015-04-04	1059549	男	黑龙江 牡丹江	1	0	0	2015-03-25	color5
10058	1113	2015-04-04	72466	男	浙江 杭州	1	0	0	2015-03-28	color5
10058	1113	2015-04-04	1084296	女	天津 天津	0	1	0	2015-04-03	color5
10058	1114	2015-05-01	77151	女	浙江 杭州	0	2	0	2015-03-20	color5
10058	1114	2015-05-01	74066	女	浙江 杭州	0	1	1	2015-04-20	color5
10058	2752	2015-06-01	41640	男	广东 佛山	2	4	0	2015-04-15	color5
10058	2752	2015-06-01	34303	女	湖北 武汉	0	2	0	2015-05-07	color4
10058	2752	2015-06-01	1071865	男	浙江 杭州	1	0	0	2015-05-12	color4
10058	2752	2015-06-01	1089944	女	湖北 宜昌	0	4	0	2015-05-13	color4
10058	2752	2015-06-01	71720	女	浙江 绍兴	1	1	0	2015-05-15	color4
10058	2752	2015-06-01	1069818	女	浙江 宁波	1	1	0	2015-05-15	color4
